accept_handover|Accept call handover
use_full_screen_intent|Send an intent to launch instead of posting the notification to the status bar.
use_icc_auth_with_device_identifier|Allows to read device identifiers and use ICC based authentication like EAP-AKA.
use_sip|Access APIs for SIP calling over VOIP or WiFi
uwb_ranging|Uwb ranging (auto-generated)
vibrate|Vibrate (auto-generated)
wake_lock|Wake lock (auto-generated)
wifi_scan|Wifi scan (auto-generated)
write_calendar|Allows an application to write to the user's calendar data.
write_call_log|Allows an application to write to the user's call log.
write_clipboard|Write clipboard (auto-generated)
write_contacts|Allows an application to write to the user's contacts data.
write_external_storage|Write external storage.
write_icc_sms|Write icc sms (auto-generated)
write_media_audio|Write media of audio type.
write_media_images|Write media of image type.
write_media_video|Write media of video type.
write_restricted_messages|Access to write restricted messages into telephony database. A message can be marked as restricted only by an app granted with this access and can only be read by an app granted with #OPSTR_READ_RESTRICTED_MESSAGES.
write_settings|Required to write/modify/update system settings.
write_sms|Write sms (auto-generated)
write_system_preferences|Access to system preferences write services
write_wallpaper|Write wallpaper (auto-generated)
